IDech,typeVeg,rep,height,embase,cal_val,localisation
56,caluna,h7,47,NA,cal,lab
56,caluna,h8,65,NA,cal,lab
56,caluna,h9,60,NA,cal,lab
56,caluna,h10,48,NA,cal,lab
56,caluna,h11,42,NA,cal,lab
56,caluna,h12,32,NA,cal,lab
57,caluna,h1,39,NA,cal,lab
57,caluna,h2,55,NA,cal,lab
57,caluna,h3,42,NA,cal,lab
57,caluna,h4,40,NA,cal,lab
57,caluna,h5,35,NA,cal,lab
57,caluna,h6,32,NA,cal,lab
57,caluna,h7,34,NA,cal,lab
57,caluna,h8,50,NA,cal,lab
57,caluna,h9,41,NA,cal,lab
57,caluna,h10,NA,NA,cal,lab
57,caluna,h11,NA,NA,cal,lab
57,caluna,h12,NA,NA,cal,lab
58,caluna,h1,43,NA,cal,lab
58,caluna,h2,54,NA,cal,lab
58,caluna,h3,43,NA,cal,lab
58,caluna,h4,44,NA,cal,lab
58,caluna,h5,55,NA,cal,lab
58,caluna,h6,54,NA,cal,lab
58,caluna,h7,38,NA,cal,lab
58,caluna,h8,42,NA,cal,lab
58,caluna,h9,48,NA,cal,lab
58,caluna,h10,60,NA,cal,lab
58,caluna,h11,50,NA,cal,lab
58,caluna,h12,56,NA,cal,lab
59,caluna,h1,36,NA,cal,lab
59,caluna,h2,46,NA,cal,lab
59,caluna,h3,64,NA,cal,lab
59,caluna,h4,43,NA,cal,lab
59,caluna,h5,65,NA,cal,lab
59,caluna,h6,NA,NA,cal,lab
59,caluna,h7,NA,NA,cal,lab
59,caluna,h8,NA,NA,cal,lab
59,caluna,h9,NA,NA,cal,lab
59,caluna,h10,NA,NA,cal,lab
59,caluna,h11,NA,NA,cal,lab
59,caluna,h12,NA,NA,cal,lab
60,caluna,h1,46,NA,cal,lab
60,caluna,h2,60,NA,cal,lab
60,caluna,h3,44,NA,cal,lab
60,caluna,h4,51,NA,cal,lab
60,caluna,h5,NA,NA,cal,lab
60,caluna,h6,NA,NA,cal,lab
60,caluna,h7,NA,NA,cal,lab
60,caluna,h8,NA,NA,cal,lab
